motif,motif_pretty,length,support_total,support_correct,support_incorrect,p_correct,p_incorrect,enrichment_correct,enrichment_incorrect,dominant_label
analyze|apply-formula,analyze -> apply-formula,2,33,15,18,0.454545,0.545455,0.842105,1.187500,incorrect
analyze|compute|instantiate|compute,analyze -> compute -> instantiate -> compute,4,21,10,11,0.476190,0.523810,0.916667,1.090909,incorrect
compute|analyze|compare,compute -> analyze -> compare,3,21,9,12,0.428571,0.571429,0.769231,1.300000,incorrect
conclude|compute|analyze,conclude -> compute -> analyze,3,21,7,14,0.333333,0.666667,0.533333,1.875000,incorrect
substitute|analyze,substitute -> analyze,2,18,5,13,0.277778,0.722222,0.428571,2.333333,incorrect
check-constraint|compute|check-constraint,check-constraint -> compute -> check-constraint,3,16,6,10,0.375000,0.625000,0.636364,1.571429,incorrect
instantiate|analyze|apply-formula,instantiate -> analyze -> apply-formula,3,15,6,9,0.400000,0.600000,0.700000,1.428571,incorrect
apply-formula|substitute,apply-formula -> substitute,2,14,5,9,0.357143,0.642857,0.600000,1.666667,incorrect
rewrite|conclude,rewrite -> conclude,2,14,5,9,0.357143,0.642857,0.600000,1.666667,incorrect
rewrite|apply-formula,rewrite -> apply-formula,2,13,4,9,0.307692,0.692308,0.500000,2.000000,incorrect
substitute|analyze|compute,substitute -> analyze -> compute,3,13,3,10,0.230769,0.769231,0.363636,2.750000,incorrect
compute|substitute|analyze,compute -> substitute -> analyze,3,12,2,10,0.166667,0.833333,0.272727,3.666667,incorrect
conclude|compute|instantiate,conclude -> compute -> instantiate,3,11,4,7,0.363636,0.636364,0.625000,1.600000,incorrect
backtrack|instantiate,backtrack -> instantiate,2,11,4,7,0.363636,0.636364,0.625000,1.600000,incorrect
apply-formula|instantiate|rewrite,apply-formula -> instantiate -> rewrite,3,10,2,8,0.200000,0.800000,0.333333,3.000000,incorrect
compute|instantiate|apply-formula,compute -> instantiate -> apply-formula,3,9,3,6,0.333333,0.666667,0.571429,1.750000,incorrect
compute|substitute|analyze|compute,compute -> substitute -> analyze -> compute,4,9,2,7,0.222222,0.777778,0.375000,2.666667,incorrect
rewrite|conclude|compute,rewrite -> conclude -> compute,3,9,1,8,0.111111,0.888889,0.222222,4.500000,incorrect
analyze|check-constraint|compute|check-constraint,analyze -> check-constraint -> compute -> check-constraint,4,8,3,5,0.375000,0.625000,0.666667,1.500000,incorrect
substitute|conclude,substitute -> conclude,2,8,3,5,0.375000,0.625000,0.666667,1.500000,incorrect
compute|instantiate|check-constraint|analyze,compute -> instantiate -> check-constraint -> analyze,4,7,3,4,0.428571,0.571429,0.800000,1.250000,incorrect
conclude|compute|instantiate|compute,conclude -> compute -> instantiate -> compute,4,7,3,4,0.428571,0.571429,0.800000,1.250000,incorrect
compute|analyze|conclude|compute,compute -> analyze -> conclude -> compute,4,7,3,4,0.428571,0.571429,0.800000,1.250000,incorrect
instantiate|conclude|compute,instantiate -> conclude -> compute,3,7,3,4,0.428571,0.571429,0.800000,1.250000,incorrect
rewrite|apply-formula|instantiate,rewrite -> apply-formula -> instantiate,3,7,2,5,0.285714,0.714286,0.500000,2.000000,incorrect
rewrite|conclude|compute|analyze,rewrite -> conclude -> compute -> analyze,4,7,0,7,0.000000,1.000000,0.125000,8.000000,incorrect
compute|instantiate|apply-formula|compute,compute -> instantiate -> apply-formula -> compute,4,6,2,4,0.333333,0.666667,0.600000,1.666667,incorrect
rewrite|apply-formula|instantiate|rewrite,rewrite -> apply-formula -> instantiate -> rewrite,4,6,2,4,0.333333,0.666667,0.600000,1.666667,incorrect
substitute|conclude|compute,substitute -> conclude -> compute,3,6,2,4,0.333333,0.666667,0.600000,1.666667,incorrect
check-constraint|compute|check-constraint|analyze,check-constraint -> compute -> check-constraint -> analyze,4,6,1,5,0.166667,0.833333,0.333333,3.000000,incorrect
compute|analyze|compare|compute,compute -> analyze -> compare -> compute,4,6,1,5,0.166667,0.833333,0.333333,3.000000,incorrect
instantiate|analyze|apply-formula|substitute,instantiate -> analyze -> apply-formula -> substitute,4,6,1,5,0.166667,0.833333,0.333333,3.000000,incorrect
conclude|compute|substitute,conclude -> compute -> substitute,3,6,1,5,0.166667,0.833333,0.333333,3.000000,incorrect
analyze|apply-formula|substitute,analyze -> apply-formula -> substitute,3,6,1,5,0.166667,0.833333,0.333333,3.000000,incorrect
compute|backtrack|instantiate,compute -> backtrack -> instantiate,3,6,1,5,0.166667,0.833333,0.333333,3.000000,incorrect
check-constraint|apply-formula,check-constraint -> apply-formula,2,6,1,5,0.166667,0.833333,0.333333,3.000000,incorrect
conclude|compute|analyze|compare,conclude -> compute -> analyze -> compare,4,6,0,6,0.000000,1.000000,0.142857,7.000000,incorrect
instantiate|compute|analyze|check-constraint,instantiate -> compute -> analyze -> check-constraint,4,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
instantiate|analyze|compute|check-constraint,instantiate -> analyze -> compute -> check-constraint,4,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
analyze|compute|analyze|count,analyze -> compute -> analyze -> count,4,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
analyze|compute|analyze|backtrack,analyze -> compute -> analyze -> backtrack,4,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
apply-formula|analyze|compute|substitute,apply-formula -> analyze -> compute -> substitute,4,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
compare|apply-formula|compute,compare -> apply-formula -> compute,3,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
compare|analyze|instantiate,compare -> analyze -> instantiate,3,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
apply-formula|compute|instantiate,apply-formula -> compute -> instantiate,3,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
case-split|compare,case-split -> compare,2,5,2,3,0.400000,0.600000,0.750000,1.333333,incorrect
rewrite|analyze|apply-formula,rewrite -> analyze -> apply-formula,3,5,1,4,0.200000,0.800000,0.400000,2.500000,incorrect
compute|check-constraint|apply-formula,compute -> check-constraint -> apply-formula,3,5,1,4,0.200000,0.800000,0.400000,2.500000,incorrect
instantiate|rewrite|conclude|compute,instantiate -> rewrite -> conclude -> compute,4,5,0,5,0.000000,1.000000,0.166667,6.000000,incorrect
instantiate|rewrite|conclude,instantiate -> rewrite -> conclude,3,5,0,5,0.000000,1.000000,0.166667,6.000000,incorrect
compare|check-constraint|compute|check-constraint,compare -> check-constraint -> compute -> check-constraint,4,4,1,3,0.250000,0.750000,0.500000,2.000000,incorrect
apply-formula|instantiate|conclude|compute,apply-formula -> instantiate -> conclude -> compute,4,4,1,3,0.250000,0.750000,0.500000,2.000000,incorrect
compute|backtrack|instantiate|compute,compute -> backtrack -> instantiate -> compute,4,4,1,3,0.250000,0.750000,0.500000,2.000000,incorrect
substitute|check-constraint|compute,substitute -> check-constraint -> compute,3,4,1,3,0.250000,0.750000,0.500000,2.000000,incorrect
compute|count|instantiate,compute -> count -> instantiate,3,4,1,3,0.250000,0.750000,0.500000,2.000000,incorrect
apply-formula|instantiate|conclude,apply-formula -> instantiate -> conclude,3,4,1,3,0.250000,0.750000,0.500000,2.000000,incorrect
apply-formula|instantiate|rewrite|conclude,apply-formula -> instantiate -> rewrite -> conclude,4,4,0,4,0.000000,1.000000,0.200000,5.000000,incorrect
compute|check-constraint|apply-formula|instantiate,compute -> check-constraint -> apply-formula -> instantiate,4,4,0,4,0.000000,1.000000,0.200000,5.000000,incorrect
substitute|analyze|compute|instantiate,substitute -> analyze -> compute -> instantiate,4,4,0,4,0.000000,1.000000,0.200000,5.000000,incorrect
check-constraint|apply-formula|instantiate,check-constraint -> apply-formula -> instantiate,3,4,0,4,0.000000,1.000000,0.200000,5.000000,incorrect
count|analyze|conclude|analyze,count -> analyze -> conclude -> analyze,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
substitute|compute|rewrite|analyze,substitute -> compute -> rewrite -> analyze,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compare|analyze|instantiate|compute,compare -> analyze -> instantiate -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|instantiate|count|compute,analyze -> instantiate -> count -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|conclude|count|analyze,compute -> conclude -> count -> analyze,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|compute|conclude|instantiate,analyze -> compute -> conclude -> instantiate,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
instantiate|compute|apply-formula|substitute,instantiate -> compute -> apply-formula -> substitute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compare|apply-formula|analyze|compute,compare -> apply-formula -> analyze -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
check-constraint|analyze|compute|instantiate,check-constraint -> analyze -> compute -> instantiate,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|conclude|compute|check-constraint,analyze -> conclude -> compute -> check-constraint,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|substitute|check-constraint|compute,compute -> substitute -> check-constraint -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
conclude|instantiate|compute|analyze,conclude -> instantiate -> compute -> analyze,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|instantiate|compute|conclude,compute -> instantiate -> compute -> conclude,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
conclude|count|analyze|compute,conclude -> count -> analyze -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
check-constraint|analyze|compute|backtrack,check-constraint -> analyze -> compute -> backtrack,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
instantiate|compute|substitute|analyze,instantiate -> compute -> substitute -> analyze,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
conclude|compute|analyze|check-constraint,conclude -> compute -> analyze -> check-constraint,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|rewrite|analyze|apply-formula,compute -> rewrite -> analyze -> apply-formula,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
rewrite|compute|conclude|compute,rewrite -> compute -> conclude -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
backtrack|instantiate|analyze|compute,backtrack -> instantiate -> analyze -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|case-split|compute|conclude,compute -> case-split -> compute -> conclude,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
apply-formula|substitute|compute|instantiate,apply-formula -> substitute -> compute -> instantiate,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
instantiate|analyze|compute|case-split,instantiate -> analyze -> compute -> case-split,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|compare|apply-formula|compute,compute -> compare -> apply-formula -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|compute|backtrack|compute,analyze -> compute -> backtrack -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|instantiate|compute|check-constraint,analyze -> instantiate -> compute -> check-constraint,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
apply-formula|analyze|conclude|compute,apply-formula -> analyze -> conclude -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
rewrite|analyze|apply-formula|compute,rewrite -> analyze -> apply-formula -> compute,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
conclude|compute|apply-formula|analyze,conclude -> compute -> apply-formula -> analyze,4,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|conclude|count,compute -> conclude -> count,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|rewrite|conclude,analyze -> rewrite -> conclude,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
count|compute|instantiate,count -> compute -> instantiate,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
case-split|compute|conclude,case-split -> compute -> conclude,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compare|check-constraint|instantiate,compare -> check-constraint -> instantiate,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|apply-formula|instantiate,analyze -> apply-formula -> instantiate,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
backtrack|instantiate|analyze,backtrack -> instantiate -> analyze,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
check-constraint|analyze|conclude,check-constraint -> analyze -> conclude,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|compare|check-constraint,analyze -> compare -> check-constraint,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|instantiate|compare,analyze -> instantiate -> compare,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
apply-formula|compute|substitute,apply-formula -> compute -> substitute,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
substitute|instantiate|analyze,substitute -> instantiate -> analyze,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
apply-formula|analyze|conclude,apply-formula -> analyze -> conclude,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
conclude|count|analyze,conclude -> count -> analyze,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
compute|case-split|compare,compute -> case-split -> compare,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
instantiate|rewrite|apply-formula,instantiate -> rewrite -> apply-formula,3,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
check-constraint|count,check-constraint -> count,2,3,1,2,0.333333,0.666667,0.666667,1.500000,incorrect
analyze|apply-formula|substitute|conclude,analyze -> apply-formula -> substitute -> conclude,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
check-constraint|apply-formula|instantiate|rewrite,check-constraint -> apply-formula -> instantiate -> rewrite,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
apply-formula|substitute|conclude|compute,apply-formula -> substitute -> conclude -> compute,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
instantiate|compute|instantiate|apply-formula,instantiate -> compute -> instantiate -> apply-formula,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
substitute|conclude|compute|instantiate,substitute -> conclude -> compute -> instantiate,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
conclude|compute|substitute|analyze,conclude -> compute -> substitute -> analyze,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
instantiate|conclude|compute|substitute,instantiate -> conclude -> compute -> substitute,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
analyze|apply-formula|compute|apply-formula,analyze -> apply-formula -> compute -> apply-formula,4,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
count|compute|check-constraint,count -> compute -> check-constraint,3,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
apply-formula|instantiate|analyze,apply-formula -> instantiate -> analyze,3,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
rewrite|apply-formula|compute,rewrite -> apply-formula -> compute,3,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
apply-formula|substitute|conclude,apply-formula -> substitute -> conclude,3,3,0,3,0.000000,1.000000,0.250000,4.000000,incorrect
